date,beanName,beanWeight,coffeeWeight,grind,time,notes,weightEverySec,pressureEverySec
2019 01 14 Mon 09:50,nic,-18.4,35.2,4,27,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;35.2;35.2;,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;,
2019 01 20 Sun 13:09,bra,18.6,80.9,4.8,77,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;1.2;2.1;2.9;4.2;5.0;6.5;7.5;9.1;10.6;11.6;13.3;14.5;15.9;17.7;18.7;20.2;21.9;23.6;25.1;26.6;28.0;29.7;30.9;32.3;33.8;35.5;37.2;38.6;40.0;41.3;43.1;44.6;46.2;47.6;48.9;50.7;52.3;53.7;55.2;56.8;58.1;59.8;61.3;62.9;64.4;65.7;67.4;68.9;70.4;71.8;73.5;75.0;76.2;78.0;79.5;80.7;80.9;,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;,
2019 01 20 Sun 13:15,bra,18.5,37.4,4,59,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.3;0.4;0.7;1.1;1.4;1.8;2.5;2.9;3.2;3.8;4.4;4.9;5.6;6.4;7.3;7.9;8.8;9.7;11.0;11.9;12.9;14.1;15.7;16.7;18.3;19.3;21.0;22.1;23.7;25.3;26.4;27.8;29.7;31.1;32.4;33.8;35.6;37.0;37.2;37.4;37.4;37.4;,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;,
2019 01 21 Mon 09:53,bra,18.5,38.3,4.5,43,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;1.0;1.5;2.4;3.0;4.0;4.8;5.9;7.4;9.0;10.5;12.3;14.2;16.2;18.1;20.2;22.2;24.3;26.4;28.7;30.8;33.0;35.1;37.3;38.0;38.2;38.2;38.2;38.2;,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;,
2019 01 21 Mon 09:59,nic,-18.4,38.1,4,29,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3;2.2;2.2;2.2;2.2;2.2;11.3;11.3;11.3;11.3;11.3;17.1;25.9;25.9;25.9;25.9;25.9;35.7;,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;,
2019 01 27 Sun 11:43,bra,18.5,81.3,5.3,68,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.8;2.1;3.2;4.6;6.0;7.1;8.9;10.3;11.8;13.2;15.0;16.4;18.0;19.5;21.1;22.7;24.4;25.8;27.6;29.3;30.9;32.6;33.8;35.7;37.3;38.9;40.6;41.8;43.8;45.3;47.2;48.7;50.2;51.9;53.6;55.3;56.9;58.5;60.0;61.7;63.5;65.2;66.6;67.9;69.8;71.5;73.0;74.7;76.1;77.6;79.5;80.9;81.1;81.2;81.3;81.3;,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;,
2019 01 27 Sun 11:51,nic,18.4,37.6,4,33,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3;2.6;4.1;5.9;7.7;9.9;12.5;15.1;17.8;20.5;23.4;26.2;29.1;32.1;35.3;37.1;37.4;37.5;37.5;37.6;,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;,
2019 01 27 Sun 14:03,nic,18.4,38.2,4,28,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7;2.8;4.5;6.7;8.9;11.4;13.9;16.6;19.3;22.1;25.1;27.8;30.6;33.5;36.2;37.8;38.0;38.1;38.2;38.2;38.2;,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;,
2019 01 27 Sun 14:50,flt,13.5,227.2,20,173,,0.0;0.0;0.8;6.2;12.2;17.9;23.9;27.1;27.1;27.0;27.0;27.1;27.3;27.0;26.9;27.2;27.3;27.1;27.4;27.4;26.9;26.9;26.9;26.9;26.9;26.9;26.9;26.9;26.8;26.8;26.8;26.8;26.8;26.8;26.8;26.9;26.9;26.8;26.8;26.8;26.9;26.8;26.8;26.8;26.8;26.8;26.8;26.8;26.8;26.8;26.8;26.8;26.8;26.8;26.8;26.8;26.8;26.8;26.8;26.8;26.9;30.0;33.3;37.1;42.2;48.7;55.5;62.6;70.1;77.9;84.2;90.0;95.2;100.5;105.1;110.0;114.9;120.3;125.2;127.3;127.3;98.3;1.9;0.0;0.0;62.5;127.3;127.2;127.2;127.2;127.2;127.2;127.2;127.2;127.2;127.2;127.2;127.2;127.2;127.2;127.2;127.2;127.2;127.1;127.1;127.1;127.1;127.1;127.1;127.1;127.1;127.1;127.3;131.2;135.7;139.9;145.1;151.2;157.1;163.7;170.2;175.9;181.9;187.4;192.2;196.9;201.1;204.9;208.1;211.5;215.0;218.6;221.4;223.8;225.5;227.0;227.8;227.7;186.5;112.4;113.1;100.0;101.4;190.9;227.5;227.5;227.5;227.5;227.4;227.4;227.4;227.4;227.4;227.4;227.4;227.4;227.3;227.3;227.3;227.3;227.3;227.3;227.3;227.3;227.3;227.3;227.3;227.3;227.3;227.3;227.3;227.3;227.3;227.2;227.2;227.2;227.2;227.2;,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;,
2019 01 28 Mon 09:33,nic,18.4,37.8,4,27,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3;2.3;3.9;5.9;7.9;10.2;12.7;15.7;18.3;21.2;24.0;26.8;29.6;32.5;35.4;37.3;37.5;37.6;37.8;37.8;37.8;,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;,
