date,beanName,beanWeight,coffeeWeight,grind,time,notes,weightEverySec,pressureEverySec
2019 01 28 Mon 09:39,nic,18.4,39.2,4,29,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;2.1;4.0;5.9;8.1;10.5;13.0;15.6;18.4;21.3;24.2;27.0;29.9;32.8;35.7;38.5;38.9;39.0;39.1;39.2;39.2;39.2;,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;,
2019 02 02 Sat 10:37,bra,18.5,81.7,5.3,72,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7;1.6;2.9;4.3;5.4;6.9;8.3;9.7;11.3;12.4;14.1;16.1;17.6;19.3;20.7;22.6;24.2;26.0;27.7;29.2;30.8;32.5;33.9;35.9;37.6;39.3;40.8;42.4;44.0;45.7;47.2;48.6;50.3;52.1;53.4;55.0;56.5;58.0;59.3;60.8;62.7;64.1;65.4;66.8;68.4;69.8;71.7;72.9;74.2;76.0;77.3;78.6;80.3;81.1;81.5;81.6;81.6;81.6;81.7;81.7;81.7;,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;,
2019 02 02 Sat 13:49,nic,18.3,36.5,4,27,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;1.6;2.9;4.4;5.7;7.8;10.1;12.6;15.4;18.3;21.0;23.9;26.8;29.9;32.7;35.5;36.1;36.4;36.5;36.5;,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;,
2019 02 03 Sun 09:42,bra,18.5,82.2,5.5,66,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;1.8;3.1;4.4;6.2;7.6;9.2;10.5;12.7;14.4;16.2;18.0;19.5;21.3;23.0;24.9;26.6;28.4;30.1;31.9;33.6;35.3;37.2;38.9;40.7;42.1;43.9;45.7;47.4;49.0;50.5;52.5;54.0;55.3;57.4;59.1;60.7;62.2;64.0;65.4;67.3;69.1;70.7;72.4;74.0;75.8;77.4;79.2;80.9;81.9;82.1;82.1;82.2;,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;,
2019 02 03 Sun 13:15,nic,-18.3,39.4,4,33,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;1.1;1.1;1.1;1.1;1.1;8.2;10.0;10.0;10.0;10.0;12.8;24.1;24.1;24.1;24.1;24.1;33.0;39.0;39.0;39.0;39.0;39.1;39.4;39.4;39.4;39.4;,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;,
2019 02 03 Sun 13:22,nic,18.3,37.8,4,30,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.2;2.6;4.0;5.9;8.0;10.5;12.9;16.0;18.7;21.7;24.6;27.7;30.8;33.9;36.7;37.5;37.6;37.7;37.7;37.8;,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;,
2019 02 03 Sun 13:45,flt,13.5,226.5,20,176,,0.0;0.0;0.0;0.0;2.0;5.6;9.2;14.0;19.7;25.8;30.1;30.8;30.8;30.8;30.8;30.7;31.5;30.8;31.3;31.2;30.9;30.8;30.6;30.6;30.6;30.6;30.6;30.6;30.6;30.6;30.6;30.6;30.5;30.6;30.5;30.5;30.6;30.6;30.6;30.6;30.6;30.6;30.6;30.6;30.6;30.6;30.6;30.6;30.6;30.6;30.6;32.5;36.2;40.1;44.4;48.7;52.7;57.1;61.8;66.6;71.6;76.0;80.1;84.6;88.8;93.0;99.2;104.8;109.0;114.6;120.6;121.7;121.6;121.6;121.6;121.6;121.6;121.6;121.6;121.6;121.6;121.6;121.6;121.5;121.6;121.5;121.5;121.5;121.5;121.5;121.5;121.5;121.5;121.5;121.6;121.5;121.5;121.5;121.5;121.5;121.5;121.5;121.5;121.5;121.5;121.5;121.5;121.5;121.4;121.4;121.4;121.4;121.4;121.4;121.4;121.4;121.4;122.7;128.2;134.3;141.1;146.9;153.5;162.8;174.0;184.1;193.9;201.4;210.1;218.5;223.1;226.2;226.3;184.4;64.8;61.2;61.9;103.5;219.6;226.2;226.2;226.1;226.1;226.1;226.1;226.1;226.1;226.1;226.1;226.1;226.1;226.1;226.1;226.0;226.0;226.0;226.0;226.0;226.0;226.0;226.0;225.9;226.0;225.9;225.9;225.9;225.9;225.9;226.0;225.9;225.9;225.9;225.9;225.9;225.9;225.9;225.8;,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;,
2019 02 04 Mon 10:04,nic,18.3,38.0,4,26,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;2.1;3.8;5.9;8.3;11.1;14.0;16.8;19.8;22.8;26.1;29.3;32.2;35.5;37.6;37.9;37.9;38.0;38.0;,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;,
2019 02 04 Mon 10:11,nic,18.3,38.2,4,33,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;2.0;4.1;6.6;9.2;11.9;15.0;17.9;21.0;24.0;27.1;30.2;33.2;36.4;37.8;38.0;38.1;38.1;38.2;38.2;,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;,
2019 03 31 Sun 10:35,huy,18.4,38.2,4.25,30,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;2.0;3.3;5.0;6.8;9.1;11.6;14.2;17.1;20.0;23.0;26.1;29.4;32.6;35.8;37.8;38.0;,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;,
2019 04 01 Mon 09:54,riom,18.5,38.7,4.00,38,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.9;1.5;1.9;2.6;3.6;4.5;5.4;6.8;8.9;10.8;12.7;15.1;17.5;19.9;22.7;25.3;27.9;30.9;33.7;36.2;38.1;38.4;38.6;,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;,
2019 04 01 Mon 10:05,riom,18.5,80.4,4.75,56,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;2.5;3.9;5.5;7.5;9.1;11.1;12.9;14.6;16.6;18.5;20.4;22.3;24.2;26.0;28.1;29.9;31.7;33.8;35.7;37.6;39.6;41.6;43.3;45.5;47.5;49.4;51.4;53.4;55.3;57.5;59.3;61.2;63.3;65.2;67.0;68.9;70.8;72.7;74.9;76.7;78.7;80.1;,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;,
2019 04 01 Mon 14:32,riom,12.2,198.4,22,147,,0.0;0.0;0.0;0.0;0.0;0.0;3.4;7.8;14.7;23.6;32.2;33.6;33.6;33.7;33.5;33.5;33.6;33.5;33.9;33.6;33.4;33.4;33.3;33.4;33.4;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.4;33.4;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;34.2;39.1;43.9;49.3;54.8;59.9;64.2;68.5;73.5;78.4;82.8;88.0;93.0;97.1;100.8;106.0;111.2;113.3;113.3;59.9;-85.5;-83.5;46.8;113.2;113.2;113.2;113.2;113.2;113.2;113.2;113.2;113.1;113.1;113.1;113.1;113.1;113.1;113.1;113.1;113.1;113.1;113.1;113.1;113.1;113.0;113.0;113.0;113.0;113.0;113.0;113.0;113.0;113.0;113.0;113.0;113.0;113.0;113.0;114.6;119.9;125.8;132.5;139.8;146.9;154.8;162.9;169.7;175.5;180.7;185.1;189.5;192.8;195.2;197.5;198.5;198.8;198.9;31.6;-14.5;-12.5;-5.3;166.7;198.8;,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;,
2019 04 06 Sat 09:22,riom,-18.3,39.1,4.00,34,,0.0;-182.2;-182.2;-182.3;,0.0;0.0;0.0;0.0;,
2019 04 06 Sat 09:34,riom,-18.5,80.7,4.75,48,,0.0;0.5;1.5;3.1;4.7;6.4;8.2;9.5;11.5;13.2;14.9;16.7;18.5;20.3;22.1;24.2;25.7;27.5;29.7;31.5;33.3;35.2;37.0;39.0;40.9;42.9;44.8;46.7;48.5;50.1;52.1;54.0;55.7;57.5;59.2;61.0;62.9;64.6;66.3;68.1;69.9;71.8;73.6;75.3;76.9;78.8;80.2;80.6;,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;,
2019 04 07 Sun 10:44,riom,18.4,39.9,3.75,38,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.8;1.8;2.5;3.2;4.3;5.4;7.2;8.7;10.5;12.5;14.5;17.1;19.8;22.2;25.1;28.1;30.8;33.8;36.8;39.2;39.6;39.8;,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;,
2019 04 07 Sun 12:37,riom,18.6,41.4,3.75,45,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;1.1;1.3;1.8;2.4;3.1;4.0;4.7;5.6;6.9;7.9;9.6;11.3;13.2;15.0;16.7;18.7;20.8;22.9;25.2;27.3;29.5;32.1;34.4;36.8;39.8;41.1;41.3;,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;,
2019 04 07 Sun 12:49,delica,18.5,81.5,4.75,66,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;1.5;2.5;3.6;5.2;6.5;7.9;9.4;10.7;12.4;14.2;15.5;16.7;18.7;20.2;21.9;23.3;25.0;26.7;28.6;30.2;31.8;33.6;35.5;37.3;39.2;40.7;42.5;44.2;45.9;47.8;49.6;51.6;53.3;54.8;56.9;58.8;60.6;62.3;64.0;65.9;67.7;69.5;71.3;73.1;75.0;76.8;78.7;80.5;81.1;81.3;,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;,
2019 04 07 Sun 16:37,delica,12.3,199.3,22,212,,0.0;0.0;0.0;0.0;1.8;6.5;10.1;13.8;17.7;22.1;25.8;26.1;26.1;26.1;26.0;25.9;26.0;25.9;25.9;25.9;25.9;25.9;25.9;25.9;25.9;25.9;25.9;25.9;25.9;25.9;25.9;25.9;25.9;25.9;25.9;25.9;25.9;25.9;25.9;25.9;25.9;25.9;25.9;25.9;25.9;25.9;25.9;25.9;25.9;25.9;25.9;25.9;25.9;25.9;25.9;25.9;25.9;25.9;25.9;25.9;25.9;25.9;25.9;27.1;31.1;34.6;38.5;42.8;47.3;52.2;57.2;62.0;69.5;79.2;87.4;95.1;102.5;108.2;111.5;111.5;16.0;-83.9;-82.6;-72.3;72.8;111.4;111.4;111.3;111.3;111.3;111.3;111.3;111.3;111.3;111.3;111.3;111.3;111.3;111.2;111.3;111.2;111.2;111.2;111.2;111.2;111.2;111.2;111.2;111.2;111.2;111.2;111.1;111.1;111.1;111.2;114.2;118.8;123.7;128.4;132.9;137.3;143.0;148.5;153.5;158.2;162.9;167.9;173.2;178.1;182.2;185.7;190.2;195.3;198.4;200.0;200.1;194.9;2.6;-19.0;-19.5;56.4;199.9;199.9;199.9;199.9;199.9;199.9;199.9;199.8;199.8;199.8;199.8;199.8;199.7;199.7;199.7;199.7;199.7;199.7;199.7;199.7;199.6;199.6;199.6;199.6;199.6;199.6;199.6;199.6;199.6;199.6;199.6;199.5;199.5;199.5;199.5;199.5;199.5;199.5;199.5;199.5;199.5;199.4;199.4;199.4;199.5;199.4;199.4;199.4;199.4;199.4;199.4;199.4;199.4;199.4;199.4;199.3;199.4;199.3;199.4;199.4;199.3;199.3;199.4;199.4;199.4;199.4;199.3;199.3;145.2;134.5;199.3;,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;,
2019 04 08 Mon 09:35,delica,18.3,37.3,4.00,38,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;1.0;1.5;2.4;3.2;4.2;5.4;6.4;7.9;9.9;12.0;14.0;16.2;18.4;20.9;23.5;26.0;28.6;31.4;33.9;36.3;36.9;37.1;,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;,
2019 04 08 Mon 09:44,delica,18.4,37.6,4.00,42,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.8;1.5;2.2;2.9;3.9;4.7;5.4;6.8;7.9;9.0;11.2;13.0;15.0;17.2;19.4;21.5;24.0;26.2;28.6;31.0;33.2;35.4;37.0;37.3;37.4;,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;,
2019 04 13 Sat 10:03,delica,18.5,40.5,3.75,49,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.5;0.8;1.4;1.7;2.2;2.7;3.4;4.2;5.1;6.1;6.8;7.9;9.4;10.7;12.5;14.4;16.2;18.1;20.2;22.1;24.2;26.3;28.4;30.6;32.7;35.0;37.7;39.7;40.4;,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;,
2019 04 13 Sat 10:13,delica,18.6,39.6,3.75,51,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.5;0.8;1.1;1.6;2.0;2.6;3.2;3.8;4.7;5.6;6.6;7.6;9.1;10.1;11.5;13.2;14.9;16.7;18.7;20.6;22.3;24.2;26.2;28.0;30.0;31.8;33.7;35.6;37.1;38.6;39.4;,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;,
2019 04 13 Sat 14:49,delica,12.4,197.0,22,189,,0.0;0.0;0.0;0.0;0.0;2.8;8.2;12.9;17.9;23.0;24.3;24.3;23.0;24.3;24.4;24.5;24.3;24.9;24.3;24.2;24.3;24.5;24.0;24.1;24.0;24.0;24.0;24.1;24.1;24.1;24.0;24.1;24.1;24.0;24.0;24.1;24.1;24.1;24.1;24.0;24.0;24.1;24.1;24.1;24.1;24.0;24.1;24.1;24.1;24.1;24.1;24.1;24.1;24.1;24.1;24.1;24.0;24.0;24.1;24.0;24.0;24.0;24.1;24.2;29.3;35.6;41.5;46.4;51.1;55.9;60.9;65.6;70.2;75.2;79.6;85.5;92.2;99.3;106.0;111.7;113.8;113.9;83.0;-75.7;-89.2;-84.1;81.4;113.8;113.8;113.8;113.8;113.8;113.7;113.7;113.7;113.7;113.7;113.7;113.6;113.6;113.6;113.6;113.6;113.6;113.6;113.6;113.5;113.5;113.5;113.5;113.5;113.5;113.5;113.5;113.5;114.0;117.4;121.5;126.9;133.2;139.9;147.0;153.4;159.0;164.8;170.5;175.2;180.1;184.7;189.5;193.9;196.5;197.6;197.7;197.6;87.8;-14.9;-16.3;-9.9;179.3;197.5;197.5;197.5;197.5;197.4;197.4;197.4;197.4;197.4;197.4;197.4;197.3;197.3;197.4;197.4;197.3;197.3;197.4;197.3;197.3;197.3;197.3;197.3;197.2;197.2;197.2;197.2;197.2;197.2;197.2;197.2;197.2;197.2;197.2;197.1;197.1;197.1;197.1;197.1;197.1;197.1;197.1;197.1;197.1;197.1;195.9;82.7;73.8;197.1;,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;,
2019 04 14 Sun 10:18,huy,18.4,39.1,4.00,35,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;1.6;2.6;3.7;4.9;6.4;8.3;10.4;12.6;15.0;17.6;20.3;22.8;25.4;28.5;31.5;34.5;37.2;38.5;38.8;,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;,
